,labels,coordinates
0,0,"[[0.3144170641899109, 0.40678179264068604], [0.37007707357406616, 0.3045385479927063], [0.4188694953918457, 0.19902698695659637], [0.4739093780517578, 0.13515616953372955], [0.5320100784301758, 0.10150882601737976], [0.3580362796783447, 0.04336727410554886], [0.5266352295875549, 0.055733419954776764], [0.6178757548332214, 0.10643982142210007], [0.6712921261787415, 0.15133096277713776], [0.3480294942855835, 0.043273672461509705], [0.54653400182724, 0.053513795137405396], [0.6345759034156799, 0.11232845485210419], [0.6862668991088867, 0.17091058194637299], [0.3543989062309265, 0.07606445997953415], [0.549238383769989, 0.08779974281787872], [0.6332736015319824, 0.14690962433815002], [0.6799784898757935, 0.20317348837852478], [0.37362220883369446, 0.1333887279033661], [0.5354564189910889, 0.15501362085342407], [0.6053779721260071, 0.1940803825855255], [0.6459824442863464, 0.23004621267318726]]"
1,0,"[[0.3122463822364807, 0.2545330226421356], [0.3400052487850189, 0.28155601024627686], [0.38834184408187866, 0.26880961656570435], [0.467601478099823, 0.25738459825515747], [0.5331240296363831, 0.2646731436252594], [0.3079906105995178, 0.12902235984802246], [0.47617459297180176, 0.13310085237026215], [0.5713092088699341, 0.1700330525636673], [0.6342823505401611, 0.19806407392024994], [0.3262234330177307, 0.05675048381090164], [0.5007373690605164, 0.06636875867843628], [0.5981916785240173, 0.12214326858520508], [0.6600549221038818, 0.16630098223686218], [0.35996559262275696, 0.018581509590148926], [0.5182545185089111, 0.02669558674097061], [0.6058875322341919, 0.08515200018882751], [0.6630887389183044, 0.13097409904003143], [0.4016580581665039, 0.006292037665843964], [0.5162343978881836, 0.01608283817768097], [0.5834437608718872, 0.0647183209657669], [0.6298122406005859, 0.10275289416313171], [0.49598726630210876, 0.6592078804969788], [0.6113243699073792, 0.5683310031890869], [0.6750449538230896, 0.4202542006969452], [0.7288311719894409, 0.2968214750289917], [0.7106343507766724, 0.15872442722320557], [0.42808371782302856, 0.2739545702934265], [0.4240357279777527, 0.10564849525690079], [0.5508998036384583, 0.085391104221344], [0.6351514458656311, 0.14567264914512634], [0.37549343705177307, 0.27596962451934814], [0.39782261848449707, 0.06500609219074249], [0.5518617630004883, 0.056132227182388306], [0.642767071723938, 0.1391233205795288], [0.33430081605911255, 0.2922414541244507], [0.36524903774261475, 0.09091201424598694], [0.5284464359283447, 0.09176048636436462], [0.619440495967865, 0.1634986251592636], [0.31108778715133667, 0.3359869718551636], [0.3706026077270508, 0.1663191020488739], [0.5037462711334229, 0.15455861389636993], [0.5909257531166077, 0.2102327048778534]]"
2,0,"[[0.4950701892375946, 0.6179426908493042], [0.5758334994316101, 0.5612545013427734], [0.6253410577774048, 0.4747639298439026], [0.6676968336105347, 0.4048447608947754], [0.6312280297279358, 0.34178340435028076], [0.46777787804603577, 0.3977547883987427], [0.429767370223999, 0.30710455775260925], [0.5222632884979248, 0.2989363968372345], [0.5870915055274963, 0.32388147711753845], [0.4278408885002136, 0.40466776490211487], [0.39299190044403076, 0.29577550292015076], [0.511986494064331, 0.29815173149108887], [0.5798959732055664, 0.3339938223361969], [0.38670629262924194, 0.4155482053756714], [0.36396127939224243, 0.3130362629890442], [0.4924831986427307, 0.31684327125549316], [0.5624990463256836, 0.35147446393966675], [0.35557809472084045, 0.4381682276725769], [0.3718166947364807, 0.3533186912536621], [0.4704016149044037, 0.34765785932540894], [0.5360510945320129, 0.37264809012413025], [0.3429771959781647, 0.4028438925743103], [0.36432337760925293, 0.410086989402771], [0.3983899652957916, 0.4033956825733185], [0.4512234628200531, 0.3977542519569397], [0.5028071999549866, 0.3903349041938782], [0.3379814326763153, 0.3381860852241516], [0.4423772990703583, 0.3485812544822693], [0.5120556354522705, 0.3659423887729645], [0.5576796531677246, 0.3830328583717346], [0.3490816652774811, 0.3090214729309082], [0.46730607748031616, 0.3114812970161438], [0.5399755239486694, 0.33209797739982605], [0.5842834711074829, 0.3514424264431], [0.37205713987350464, 0.294376403093338], [0.4808211028575897, 0.2907058894634247], [0.5494006872177124, 0.3138427138328552], [0.5925445556640625, 0.33355534076690674], [0.401970237493515, 0.29229244589805603], [0.49022799730300903, 0.29375630617141724], [0.546448826789856, 0.31478825211524963], [0.5852876901626587, 0.332380086183548]]"
3,0,"[[0.3608720898628235, 0.2793616056442261], [0.38247349858283997, 0.31344735622406006], [0.40499746799468994, 0.3247775435447693], [0.4189465641975403, 0.349612832069397], [0.40402495861053467, 0.3879117965698242], [0.4337378144264221, 0.11621004343032837], [0.6063841581344604, 0.1785183995962143], [0.680736243724823, 0.24482789635658264], [0.7282379865646362, 0.29736191034317017], [0.46202337741851807, 0.050376489758491516], [0.6452173590660095, 0.10729257762432098], [0.7124387621879578, 0.1951662003993988], [0.7514146566390991, 0.26792973279953003], [0.4906020760536194, 0.02590194344520569], [0.6648833751678467, 0.07741980254650116], [0.7274613380432129, 0.16407333314418793], [0.7599001526832581, 0.23439371585845947], [0.5187997817993164, 0.029531434178352356], [0.6464602947235107, 0.07728351652622223], [0.6979241967201233, 0.140969917178154], [0.7270277738571167, 0.18986624479293823]]"
4,0,"[[0.45831021666526794, 0.6404082179069519], [0.5928664803504944, 0.5718752145767212], [0.6719687581062317, 0.43169063329696655], [0.7353115081787109, 0.31495222449302673], [0.7235645055770874, 0.1872950941324234], [0.41807639598846436, 0.25255343317985535], [0.4620644450187683, 0.11716660857200623], [0.5857523679733276, 0.11733723431825638], [0.6655819416046143, 0.18495920300483704], [0.35894739627838135, 0.24731133878231049], [0.4352884888648987, 0.07082733511924744], [0.5836398601531982, 0.08318156003952026], [0.6714233756065369, 0.16884495317935944], [0.3190276026725769, 0.2648729681968689], [0.40327829122543335, 0.08733175694942474], [0.5646761655807495, 0.10792357474565506], [0.6554484963417053, 0.18599067628383636], [0.3047716021537781, 0.3143041133880615], [0.41529417037963867, 0.1726606786251068], [0.5471448302268982, 0.18246504664421082], [0.6253976225852966, 0.2436695247888565], [0.29859083890914917, 0.2978587746620178], [0.3684206008911133, 0.2459416687488556], [0.4373756945133209, 0.19373847544193268], [0.5164471864700317, 0.18489032983779907], [0.5805914402008057, 0.19597750902175903], [0.37089577317237854, 0.046244144439697266], [0.5340363383293152, 0.08010219037532806], [0.6183800101280212, 0.13839490711688995], [0.6743465662002563, 0.18246608972549438], [0.359762579202652, 0.0332915335893631], [0.547444224357605, 0.05892963707447052], [0.6329658031463623, 0.1279805302619934], [0.6880333423614502, 0.18654388189315796], [0.36558762192726135, 0.05317287892103195], [0.5468853712081909, 0.07429686188697815], [0.6308832168579102, 0.13908794522285461], [0.6817188262939453, 0.1936245560646057], [0.38546496629714966, 0.09732440114021301], [0.5300151705741882, 0.12006630748510361], [0.6002658605575562, 0.1578320413827896], [0.6455894112586975, 0.18952243030071259]]"
5,0,"[[0.40800532698631287, 0.81238853931427], [0.5916293859481812, 0.6253983974456787], [0.6310980319976807, 0.4531552791595459], [0.698973536491394, 0.33359238505363464], [0.7585155367851257, 0.2404882311820984], [0.27493250370025635, 0.3310292661190033], [0.41598740220069885, 0.0779506117105484], [0.5960541367530823, 0.06799758970737457], [0.7235561609268188, 0.12575438618659973], [0.24806657433509827, 0.354143887758255], [0.4210437536239624, 0.04146534204483032], [0.6351184844970703, 0.060710400342941284], [0.7491627335548401, 0.14444851875305176], [0.28572672605514526, 0.38326072692871094], [0.44492244720458984, 0.0727175921201706], [0.6529858112335205, 0.09366941452026367], [0.7524647116661072, 0.17372159659862518], [0.3833742141723633, 0.419951468706131], [0.5188024044036865, 0.18534395098686218], [0.6624541878700256, 0.17849226295948029], [0.7416960597038269, 0.22869634628295898]]"
6,0,"[[0.4076201319694519, 0.854953408241272], [0.5972471237182617, 0.6369024515151978], [0.6479320526123047, 0.4531225264072418], [0.7138760089874268, 0.32758691906929016], [0.7571209073066711, 0.22145341336727142], [0.2657783627510071, 0.32620495557785034], [0.41536614298820496, 0.08642186224460602], [0.6042964458465576, 0.07834319770336151], [0.7356024980545044, 0.1375817358493805], [0.23814049363136292, 0.35142752528190613], [0.4168943464756012, 0.05374881625175476], [0.6242666244506836, 0.06855444610118866], [0.7449299693107605, 0.1442786604166031], [0.2705712616443634, 0.38267743587493896], [0.42284783720970154, 0.06925536692142487], [0.629914402961731, 0.08860692381858826], [0.7449698448181152, 0.1675683557987213], [0.35749998688697815, 0.4197900891304016], [0.48914802074432373, 0.18486818671226501], [0.6389116048812866, 0.17025688290596008], [0.737981915473938, 0.20845098793506622]]"
7,0,"[[0.36653009057044983, 0.8141390085220337], [0.5674747824668884, 0.6260027885437012], [0.6204010248184204, 0.4495914578437805], [0.6910398602485657, 0.3350580036640167], [0.75327068567276, 0.2481815069913864], [0.2677307426929474, 0.3201313614845276], [0.4244207739830017, 0.07849687337875366], [0.6044710874557495, 0.07624326646327972], [0.7269699573516846, 0.13671374320983887], [0.23715747892856598, 0.3417735695838928], [0.4342612624168396, 0.047726601362228394], [0.6473413705825806, 0.07351222634315491], [0.7616082429885864, 0.16263720393180847], [0.27098333835601807, 0.3738997280597687], [0.44625988602638245, 0.08015982806682587], [0.6565364599227905, 0.1010894924402237], [0.7627075910568237, 0.18319794535636902], [0.36329734325408936, 0.4135916829109192], [0.5138071775436401, 0.19141387939453125], [0.6641345024108887, 0.1854516863822937], [0.7526944875717163, 0.23499825596809387]]"
8,0,"[[0.35716763138771057, 0.7957541942596436], [0.543857216835022, 0.6417155265808105], [0.606846809387207, 0.4892410635948181], [0.6943978071212769, 0.3839777410030365], [0.763634204864502, 0.29819631576538086], [0.2807345986366272, 0.3092476427555084], [0.4536610245704651, 0.07371911406517029], [0.6306372880935669, 0.0973241925239563], [0.7425268292427063, 0.18046915531158447], [0.25057438015937805, 0.32685741782188416], [0.46619486808776855, 0.04738575220108032], [0.6756553649902344, 0.10073752701282501], [0.7728598117828369, 0.19983099400997162], [0.2863748371601105, 0.36158350110054016], [0.4889877438545227, 0.07957559823989868], [0.6919609308242798, 0.13185818493366241], [0.7757017016410828, 0.22777453064918518], [0.3781505227088928, 0.41304701566696167], [0.5426241159439087, 0.1997986137866974], [0.6866919994354248, 0.2176329493522644], [0.7584562301635742, 0.2854989767074585]]"
9,0,"[[0.4137815833091736, 0.8139845132827759], [0.5913783311843872, 0.6182393431663513], [0.6352483034133911, 0.44386422634124756], [0.7009668946266174, 0.32551929354667664], [0.7498514652252197, 0.22359362244606018], [0.2758679687976837, 0.32879766821861267], [0.4112369120121002, 0.08892607688903809], [0.5913146734237671, 0.07207947969436646], [0.7190949320793152, 0.12278611958026886], [0.2409011870622635, 0.3501979112625122], [0.4101691246032715, 0.05697131156921387], [0.6283266544342041, 0.0609942227602005], [0.7493160963058472, 0.13321958482265472], [0.26624101400375366, 0.37536412477493286], [0.4154827892780304, 0.06998352706432343], [0.6286277770996094, 0.07794198393821716], [0.7413580417633057, 0.1541629582643509], [0.3499463200569153, 0.4064798653125763], [0.4840397536754608, 0.17191588878631592], [0.6368451118469238, 0.16206885874271393], [0.7315881252288818, 0.2115311175584793]]"
10,0,"[[0.3604530096054077, 0.8233649730682373], [0.5560404062271118, 0.6896163821220398], [0.6493265628814697, 0.5341321229934692], [0.7521203756332397, 0.41839221119880676], [0.7769178152084351, 0.3111102283000946], [0.3339928388595581, 0.30414247512817383], [0.47139567136764526, 0.07842852175235748], [0.6544294357299805, 0.12998023629188538], [0.743165135383606, 0.24209709465503693], [0.2985348105430603, 0.3220962584018707], [0.48195990920066833, 0.057109534740448], [0.6789529323577881, 0.12943175435066223], [0.7494732141494751, 0.24989983439445496], [0.30953824520111084, 0.3628857731819153], [0.47908860445022583, 0.09203481674194336], [0.6678208112716675, 0.1703861653804779], [0.7286531329154968, 0.28809070587158203], [0.3629398047924042, 0.4271095395088196], [0.5246224999427795, 0.21634723246097565], [0.6597158908843994, 0.2635931372642517], [0.7130799293518066, 0.3628135621547699]]"
